SRM pendulum synesthetic test
Frequency:				10.00GHz
Num of meas points:		144001
Num of recon points:	1891
Sample frequency:		0.715602 lamda
Critical angle:			80.8294 deg
Un co-located measurement.
No noise added.

Error:					0.007525

Using ecliptical AUT
Major Axis:				5.00
Minor Axis:				2.00
Current Step size:		0.25
x pahse taper:			theta:10.0	phi:30.0
y pahse taper:			theta:10.0	phi:30.0

Pendulum Near-field grid
Arm length:				30.8 lamda
Meas time interval:		0.003 sec
Omega AUT:				1.0 deg/sec
Initial angle:			20.0 deg
Z distance:				3.0 lamda
Radius:					0.6321 m

Reconstruction Surface
Step size:				0.1 lamda
X size:					6.0 lamda
Y size:					3.0 lamda
Z distance:				0.1 lamda

Synesthetic Far-field
FF phi:					30.0 deg


E_mag_FF_True_norm_dB,	E_mag_FF_SRM_norm_dB
-58.064230,				-47.807021
-58.091374,				-47.824268
-58.174875,				-47.880719
-58.321058,				-47.976097
-58.540895,				-48.109890
-58.850807,				-48.281279
-59.274183,				-48.489026
-59.844169,				-48.731298
-60.608885,				-49.005407
-61.641641,				-49.307439
-63.062488,				-49.631728
-65.088725,				-49.970168
-68.167282,				-50.311394
-73.206275,				-50.639967
-75.678672,				-50.935969
-68.999125,				-51.175630
-64.180251,				-51.333822
-60.806479,				-51.388837
-58.240249,				-51.328638
-56.193675,				-51.156178
-54.523640,				-50.891122
-53.153687,				-50.567139
-52.043011,				-50.226702
-51.173148,				-49.916369
-50.542562,				-49.684664
-50.165806,				-49.583246
-50.076759,				-49.671587
-50.337610,				-50.026155
-51.058965,				-50.757216
-52.444471,				-52.039291
-54.878656,				-54.146037
-58.668537,				-57.131860
-58.408147,				-57.454835
-52.494688,				-52.673323
-47.736461,				-48.088989
-44.110788,				-44.461229
-41.191852,				-41.508235
-38.748796,				-39.025135
-36.654518,				-36.890889
-34.834005,				-35.032233
-33.240487,				-33.403017
-31.843817,				-31.973372
-30.624402,				-30.723856
-29.569876,				-29.642187
-28.673223,				-28.721389
-27.931770,				-27.958783
-27.346744,				-27.355559
-26.923303,				-26.916789
-26.671015,				-26.651923
-26.604950,				-26.575878
-26.747690,				-26.711044
-27.132947,				-27.090915
-27.812349,				-27.766875
-28.869112,				-28.821885
-30.448883,				-30.401389
-32.842193,				-32.796097
-36.774530,				-36.734890
-45.131811,				-45.185956
-45.663487,				-45.864535
-36.520744,				-36.537965
-32.152875,				-32.152122
-29.428259,				-29.424054
-27.603356,				-27.599266
-26.403850,				-26.400961
-25.716706,				-25.715207
-25.509852,				-25.509525
-25.813136,				-25.813566
-26.733201,				-26.733995
-28.521594,				-28.523089
-31.815664,				-31.823887
-38.635692,				-38.749387
-38.774179,				-39.045089
-30.390364,				-30.461022
-25.753762,				-25.791395
-22.689138,				-22.714175
-20.507211,				-20.525152
-18.934643,				-18.947640
-17.847917,				-17.857036
-17.196176,				-17.202072
-16.977090,				-16.980286
-17.236250,				-17.237350
-18.089103,				-18.089217
-19.789218,				-19.791559
-22.933711,				-22.953451
-28.674129,				-28.846941
-26.890558,				-27.092636
-19.840343,				-19.898983
-15.273484,				-15.300782
-12.003007,				-12.018788
-9.479647,				-9.489798
-7.452657,				-7.459603
-5.789337,				-5.794285
-4.411445,				-4.415072
-3.269192,				-3.271904
-2.329132,				-2.331177
-1.567929,				-1.569463
-0.968902,				-0.970024
-0.519998,				-0.520772
-0.212554,				-0.213026
-0.040524,				-0.040736
0.000000,				0.000000
-0.088939,				-0.088788
-0.307034,				-0.306813
-0.655726,				-0.655538
-1.138341,				-1.138315
-1.760388,				-1.760678
-2.530074,				-2.530859
-3.459126,				-3.460607
-4.564122,				-4.566530
-5.868699,				-5.872289
-7.407326,				-7.412402
-9.232212,				-9.239165
-11.426922,				-11.436348
-14.136101,				-14.149149
-17.639445,				-17.659086
-22.559572,				-22.597275
-29.877209,				-30.003049
-29.063228,				-29.139846
-23.907642,				-23.931175
-21.065080,				-21.079464
-19.461565,				-19.472709
-18.593299,				-18.602150
-18.232370,				-18.238705
-18.264208,				-18.267363
-18.629562,				-18.628631
-19.301746,				-19.295627
-20.278073,				-20.265465
-21.579165,				-21.558485
-23.255726,				-23.224887
-25.407906,				-25.363688
-28.235765,				-28.171736
-32.190420,				-32.087631
-38.549608,				-38.302146
-46.293241,				-45.436316
-38.147237,				-37.980299
-33.701633,				-33.595349
-31.233117,				-31.132508
-29.740219,				-29.637181
-28.844946,				-28.739237
-28.369312,				-28.263641
-28.217892,				-28.117165
-28.336207,				-28.247768
-28.693401,				-28.627806
-29.274509,				-29.246901
-30.077380,				-30.109822
-31.112600,				-31.238201
-32.406394,				-32.677118
-34.008043,				-34.510981
-36.006554,				-36.902672
-38.570445,				-40.207457
-42.058547,				-45.435916
-47.407693,				-58.846109
-56.272774,				-50.711701
-50.268090,				-43.592298
-44.749596,				-40.002382
-41.608589,				-37.693822
-39.546832,				-36.063785
-38.093759,				-34.859897
-37.033220,				-33.951662
-36.248129,				-33.262395
-35.667554,				-32.742931
-35.244897,				-32.359666
-34.947565,				-32.088461
-34.751572,				-31.911247
-34.638488,				-31.814004
-34.593602,				-31.785465
-34.604754,				-31.816256
-34.661569,				-31.898264
-34.754924,				-32.024160
-34.876581,				-32.187010
-35.018921,				-32.379940
-35.174768,				-32.595834
-35.337271,				-32.827085
-35.499855,				-33.065399
-35.656225,				-33.301698
-35.800429,				-33.526175
-35.926975,				-33.728560
-36.030989,				-33.898644
-36.108400,				-34.027048
-36.156131,				-34.106158
-36.172259,				-34.131040


